timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1712227227441,3,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group(10000 ) 1-1884,text,false,,2629,0,1900,1900,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,0,0,2
1712227222945,4326,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group(10000 ) 1-361,text,false,,4058,154,1881,1881,http://localhost/orangehrm-5.6/web/index.php/auth/login,4165,0,18
1712227222945,4226,HTTP Request-0,302,Found,Thread Group(10000 ) 1-361,text,true,,933,154,1881,1881,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,4165,0,18
1712227226769,2,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group(10000 ) 1-1673,text,false,,2629,0,1686,1686,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,0,0,2
1712227227190,81,HTTP Request-1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group(10000 ) 1-361,text,false,,3125,0,1881,1881,http://localhost/orangehrm-5.6/web/index.php/auth/login,0,0,80
1712227222875,4396,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group(10000 ) 1-293,text,false,,4058,154,1881,1881,http://localhost/orangehrm-5.6/web/index.php/auth/login,4235,0,88
1712227222875,4295,HTTP Request-0,302,Found,Thread Group(10000 ) 1-293,text,true,,933,154,1881,1881,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,4235,0,88
1712227222843,4428,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group(10000 ) 1-36,text,false,,4058,154,1881,1881,http://localhost/orangehrm-5.6/web/index.php/auth/login,4274,0,117
1712227227191,80,HTTP Request-1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group(10000 ) 1-293,text,false,,3125,0,1881,1881,http://localhost/orangehrm-5.6/web/index.php/auth/login,0,0,80
1712227222856,4415,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group(10000 ) 1-187,text,false,,4058,154,1881,1881,http://localhost/orangehrm-5.6/web/index.php/auth/login,4254,0,104
1712227222856,4317,HTTP Request-0,302,Found,Thread Group(10000 ) 1-187,text,true,,933,154,1881,1881,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,4254,0,104
1712227222843,4324,HTTP Request-0,302,Found,Thread Group(10000 ) 1-36,text,true,,933,154,1881,1881,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,4274,0,117
1712227227903,3,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group(10000 ) 1-2026,text,false,,2629,0,2027,2027,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,0,0,3
1712227227191,80,HTTP Request-1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group(10000 ) 1-187,text,false,,3125,0,1881,1881,http://localhost/orangehrm-5.6/web/index.php/auth/login,0,0,80
1712227227192,79,HTTP Request-1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group(10000 ) 1-36,text,false,,3125,0,1881,1881,http://localhost/orangehrm-5.6/web/index.php/auth/login,0,0,79
1712227225033,1,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group(10000 ) 1-1516,text,false,,2629,0,1557,1557,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,0,0,1
1712227227741,1,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group(10000 ) 1-2014,text,false,,2629,0,2026,2026,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,0,0,1
